date,SMA
2005-08-19,145.5824
2005-08-22,145.0347
2005-08-23,144.6207
2005-08-24,144.2606
2005-08-25,143.987
2005-08-26,143.8822
2005-08-29,143.8029
2005-08-30,143.504
2005-08-31,143.2206
2005-09-01,142.9327
2005-09-02,142.8349
2005-09-06,142.7311
2005-09-07,142.8139
2005-09-08,143.0574
2005-09-09,143.4345
2005-09-12,143.9366
2005-09-13,144.6307
2005-09-14,145.0658
2005-09-15,145.5052
2005-09-16,146.012
2005-09-19,146.6086
2005-09-20,147.4587
2005-09-21,148.2692
2005-09-22,148.9914
2005-09-23,149.8132
2005-09-26,150.5831
2005-09-27,151.2223
2005-09-28,151.692
2005-09-29,152.2843
2005-09-30,153.0419
2005-10-03,153.8
2005-10-04,154.3991
2005-10-05,154.7963
2005-10-06,155.2317
2005-10-07,155.5803
2005-10-10,155.6031
2005-10-11,155.4631
2005-10-12,155.4122
2005-10-13,155.2823
2005-10-14,155.1805
2005-10-17,155.2109
2005-10-18,155.0948
2005-10-19,155.0145
2005-10-20,154.8096
2005-10-21,155.425
2005-10-24,156.2869
2005-10-25,157.1137
2005-10-26,158.3536
2005-10-27,159.4429
2005-10-28,160.4889
2005-10-31,161.8296
2005-11-01,163.5443
2005-11-02,165.2739
2005-11-03,167.1096
2005-11-04,169.0516
2005-11-07,171.1676
2005-11-08,173.2691
2005-11-09,175.2297
2005-11-10,177.5784
2005-11-11,179.9422
2005-11-14,182.2486
2005-11-15,184.4935
2005-11-16,186.7367
2005-11-17,189.2507
2005-11-18,190.7631
2005-11-21,192.2856
2005-11-22,194.03
2005-11-23,195.7207
2005-11-25,197.6155
2005-11-28,199.2533
2005-11-29,200.0408
2005-11-30,200.681
2005-12-01,201.544
2005-12-02,202.3402
2005-12-05,202.7269
2005-12-06,202.9653
2005-12-07,203.3245
2005-12-08,204.1144
2005-12-09,204.5683
2005-12-12,205.1253
2005-12-13,205.6399
2005-12-14,206.2959
2005-12-15,206.9073
2005-12-16,207.5769
2005-12-19,208.1885
2005-12-20,208.6996
2005-12-21,208.9469
2005-12-22,209.1771
2005-12-23,209.235
2005-12-27,209.2641
2005-12-28,209.8446
2005-12-29,210.2268
2005-12-30,210.2461
2006-01-03,210.6857
2006-01-04,211.6735
2006-01-05,212.8446
2006-01-06,214.3853
2006-01-09,215.7959
2006-01-10,217.3146
2006-01-11,218.7947
2006-01-12,219.9517
2006-01-13,221.1376
2006-01-17,222.2556
2006-01-18,222.6257
2006-01-19,222.9228
2006-01-20,222.1634
2006-01-23,222.1928
2006-01-24,222.4684
2006-01-25,222.5203
2006-01-26,222.7616
2006-01-27,222.9322
2006-01-30,223.0994
2006-01-31,223.5458
2006-02-01,222.707
2006-02-02,221.4732
2006-02-03,219.7257
2006-02-06,217.7054
2006-02-07,215.2233
2006-02-08,212.6985
2006-02-09,209.8682
2006-02-10,207.3349
2006-02-13,204.3118
2006-02-14,201.2075
2006-02-15,198.6363
2006-02-16,196.8813
2006-02-17,196.1111
2006-02-21,194.5837
2006-02-22,192.6392
2006-02-23,191.2617
2006-02-24,189.8356
2006-02-27,188.7544
2006-02-28,187.1444
2006-03-01,185.4427
2006-03-02,184.8075
2006-03-03,184.3596
2006-03-06,184.0222
2006-03-07,183.5043
2006-03-08,183.1522
2006-03-09,182.4982
2006-03-10,181.9648
2006-03-13,181.3241
2006-03-14,181.461
2006-03-15,181.4906
2006-03-16,181.4001
2006-03-17,180.7313
2006-03-20,180.2157
2006-03-21,179.5469
2006-03-22,178.9132
2006-03-23,178.0059
2006-03-24,177.715
2006-03-27,177.1962
2006-03-28,177.5619
2006-03-29,178.3187
2006-03-30,178.6194
2006-03-31,178.9158
2006-04-03,179.4575
2006-04-04,180.4578
2006-04-05,181.8147
2006-04-06,183.5245
2006-04-07,185.2463
