date,EMA
2005-08-22,144.2116
2005-08-23,143.8317
2005-08-24,143.6309
2005-08-25,143.4501
2005-08-26,143.3338
2005-08-29,143.4612
2005-08-30,143.5201
2005-08-31,143.5127
2005-09-01,143.518
2005-09-02,143.6279
2005-09-06,143.6633
2005-09-07,144.066
2005-09-08,144.4551
2005-09-09,144.984
2005-09-12,145.9712
2005-09-13,146.957
2005-09-14,147.4344
2005-09-15,147.8481
2005-09-16,148.1068
2005-09-19,148.5124
2005-09-20,149.0761
2005-09-21,149.7768
2005-09-22,150.3854
2005-09-23,151.1266
2005-09-26,151.7457
2005-09-27,152.2895
2005-09-28,152.4023
2005-09-29,152.6773
2005-09-30,153.2527
2005-10-03,153.8795
2005-10-04,154.0797
2005-10-05,154.2469
2005-10-06,154.4957
2005-10-07,154.7323
2005-10-10,154.8345
2005-10-11,154.7097
2005-10-12,154.3517
2005-10-13,153.8592
2005-10-14,153.3516
2005-10-17,153.3154
2005-10-18,153.2006
2005-10-19,153.3556
2005-10-20,153.2331
2005-10-21,154.8753
2005-10-24,156.779
2005-10-25,158.4184
2005-10-26,160.309
2005-10-27,161.906
2005-10-28,163.5949
2005-10-31,165.7902
2005-11-01,168.1223
2005-11-02,170.2467
2005-11-03,172.4682
2005-11-04,174.6921
2005-11-07,176.924
2005-11-08,178.6982
2005-11-09,179.79
2005-11-10,181.3486
2005-11-11,182.7254
2005-11-14,184.2848
2005-11-15,185.4966
2005-11-16,186.8485
2005-11-17,188.3248
2005-11-18,189.5057
2005-11-21,191.0112
2005-11-22,192.713
2005-11-23,194.5579
2005-11-25,196.5023
2005-11-28,198.0159
2005-11-29,198.433
2005-11-30,198.8758
2005-12-01,199.7149
2005-12-02,200.6465
2005-12-05,200.9234
2005-12-06,201.1113
2005-12-07,201.266
2005-12-08,201.7131
2005-12-09,202.0484
2005-12-12,202.5147
2005-12-13,203.1696
2005-12-14,203.8324
2005-12-15,204.6026
2005-12-16,205.6634
2005-12-19,206.358
2005-12-20,207.2321
2005-12-21,207.86
2005-12-22,208.7008
2005-12-23,209.4086
2005-12-27,209.7485
2005-12-28,210.1539
2005-12-29,210.2083
2005-12-30,210.0049
2006-01-03,210.7939
2006-01-04,211.9858
2006-01-05,213.3508
2006-01-06,215.2747
2006-01-09,217.0745
2006-01-10,218.8395
2006-01-11,220.5258
2006-01-12,221.6693
2006-01-13,222.8291
2006-01-17,223.9195
2006-01-18,223.8456
2006-01-19,223.3744
2006-01-20,221.1815
2006-01-23,220.5367
2006-01-24,220.6952
2006-01-25,220.3595
2006-01-26,220.1162
2006-01-27,219.8591
2006-01-30,219.3078
2006-01-31,219.088
2006-02-01,217.4141
2006-02-02,215.6255
2006-02-03,213.3152
2006-02-06,211.3944
2006-02-07,208.8358
2006-02-08,206.5764
2006-02-09,204.0396
2006-02-10,201.9279
2006-02-13,199.2095
2006-02-14,196.6364
2006-02-15,194.2634
2006-02-16,193.2666
2006-02-17,192.4742
2006-02-21,191.654
2006-02-22,190.8594
2006-02-23,190.7414
2006-02-24,190.6027
2006-02-27,191.0969
2006-02-28,190.2183
2006-03-01,189.5275
2006-03-02,189.4589
2006-03-03,189.4795
2006-03-06,189.0167
2006-03-07,188.4236
2006-03-08,187.3821
2006-03-09,185.9201
2006-03-10,184.3346
2006-03-13,182.8791
2006-03-14,182.2358
2006-03-15,181.3355
2006-03-16,180.2473
2006-03-17,179.3115
2006-03-20,178.866
2006-03-21,178.068
2006-03-22,177.3602
2006-03-23,176.7997
2006-03-24,177.4346
2006-03-27,178.1948
2006-03-28,179.2414
2006-03-29,181.0376
2006-03-30,182.3504
2006-03-31,183.6126
2006-04-03,184.7403
2006-04-04,186.4599
2006-04-05,188.1901
2006-04-06,189.9078
2006-04-07,191.2222
2006-04-10,192.8996
2006-04-11,194.0962
2006-04-12,195.145
2006-04-13,195.7695
2006-04-17,196.5572
2006-04-18,197.1466
2006-04-19,197.9788
2006-04-20,198.9468
2006-04-21,200.8782
2006-04-24,202.7881
2006-04-25,203.8789
2006-04-26,204.809
2006-04-27,205.3667
2006-04-28,205.7715
2006-05-01,205.2283
2006-05-02,204.5409
2006-05-03,203.889
2006-05-04,203.3268
2006-05-05,202.7967
2006-05-08,202.34
2006-05-09,202.5964
2006-05-10,202.5505
2006-05-11,201.7456
2006-05-12,200.4026
2006-05-15,199.2864
2006-05-16,198.0424
2006-05-17,197.0698
2006-05-18,196.0222
2006-05-19,195.0279
2006-05-22,194.1728
2006-05-23,193.6203
2006-05-24,193.3913
2006-05-25,193.2671
2006-05-26,193.0765
2006-05-30,192.4545
2006-05-31,191.8861
2006-06-01,191.8876
